,precision,recall,f1-score,support
60484,0.97,0.97,0.97,100.0
60581,0.8818181818181818,0.97,0.9238095238095237,100.0
60592,0.9666666666666667,0.87,0.9157894736842105,100.0
60593,0.9230769230769231,0.96,0.9411764705882353,100.0
60594,0.989247311827957,0.92,0.9533678756476685,100.0
60596,0.9705882352941176,0.99,0.9801980198019802,100.0
60598,0.9591836734693877,0.94,0.9494949494949495,100.0
60599,0.9578947368421052,0.91,0.9333333333333333,100.0
60607,1.0,0.99,0.9949748743718593,100.0
60608,0.99,0.99,0.99,100.0
60616b,0.9897959183673469,0.97,0.9797979797979798,100.0
60621,1.0,0.96,0.9795918367346939,100.0
60623,0.9900990099009901,1.0,0.9950248756218906,100.0
608036,0.968421052631579,0.92,0.9435897435897437,100.0
6081,0.9591836734693877,0.94,0.9494949494949495,100.0
60897,0.9693877551020408,0.95,0.9595959595959594,100.0
6091,0.9230769230769231,0.96,0.9411764705882353,100.0
61070,0.897196261682243,0.96,0.927536231884058,100.0
61071,0.9782608695652174,0.9,0.9375,100.0
6111,0.9418604651162791,0.81,0.8709677419354839,100.0
61252,0.8761061946902655,0.99,0.9295774647887325,100.0
612598,0.97,0.97,0.97,100.0
61409,0.9896907216494846,0.96,0.9746192893401014,100.0
614655,0.8877551020408163,0.87,0.8787878787878789,100.0
61484,0.9897959183673469,0.97,0.9797979797979798,100.0
6157,1.0,0.99,0.9949748743718593,100.0
6182,1.0,0.94,0.9690721649484536,100.0
6215,0.8807339449541285,0.96,0.9186602870813397,100.0
6222,1.0,0.98,0.98989898989899,100.0
6231,0.9166666666666666,0.88,0.8979591836734694,100.0
6232,0.9278350515463918,0.9,0.9137055837563451,100.0
6233,0.9795918367346939,0.96,0.9696969696969697,100.0
62462,0.9603960396039604,0.97,0.9651741293532338,100.0
63864,0.8407079646017699,0.95,0.892018779342723,100.0
63868,0.979381443298969,0.95,0.9644670050761421,100.0
64225,0.9693877551020408,0.95,0.9595959595959594,100.0
64288,0.9896907216494846,0.96,0.9746192893401014,100.0
64391,0.9894736842105263,0.94,0.964102564102564,100.0
64393,0.9150943396226415,0.97,0.9417475728155339,100.0
64681,0.967741935483871,0.9,0.9326424870466321,100.0
64683,0.9603960396039604,0.97,0.9651741293532338,100.0
64712,0.99,0.99,0.99,100.0
6536,0.98,0.98,0.98,100.0
6541,0.956989247311828,0.89,0.922279792746114,100.0
6553,0.9803921568627451,1.0,0.99009900990099,100.0
6558,0.9238095238095239,0.97,0.9463414634146342,100.0
6587,0.96875,0.93,0.9489795918367346,100.0
6628,0.9797979797979798,0.97,0.9748743718592964,100.0
6632,0.9509803921568627,0.97,0.9603960396039604,100.0
6636,0.8543689320388349,0.88,0.8669950738916256,100.0
72454,0.99,0.99,0.99,100.0
74261,1.0,0.96,0.9795918367346939,100.0
77206,0.99,0.99,0.99,100.0
822931,0.8431372549019608,0.86,0.8514851485148515,100.0
84954,0.9895833333333334,0.95,0.9693877551020408,100.0
85080,0.9405940594059405,0.95,0.9452736318407959,100.0
852929,0.9019607843137255,0.92,0.9108910891089109,100.0
853045,0.8165137614678899,0.89,0.8516746411483254,100.0
85984,0.9868421052631579,0.75,0.8522727272727272,100.0
87079,0.82,0.82,0.82,100.0
87081,0.98989898989899,0.98,0.9849246231155778,100.0
87083,0.9560439560439561,0.87,0.9109947643979057,100.0
87087,0.7352941176470589,0.75,0.7425742574257426,100.0
87544,0.8737864077669902,0.9,0.8866995073891626,100.0
87580,0.9591836734693877,0.94,0.9494949494949495,100.0
87609,0.98989898989899,0.98,0.9849246231155778,100.0
87620,0.96,0.96,0.96,100.0
87697,1.0,1.0,1.0,100.0
88292,0.9897959183673469,0.97,0.9797979797979798,100.0
88323,1.0,1.0,1.0,100.0
88646,0.9803921568627451,1.0,0.99009900990099,100.0
88930,0.8703703703703703,0.94,0.9038461538461539,100.0
901078,0.9887640449438202,0.88,0.9312169312169312,100.0
90195,0.9468085106382979,0.89,0.9175257731958764,100.0
90202,1.0,1.0,1.0,100.0
90609,0.9900990099009901,1.0,0.9950248756218906,100.0
90611,0.9900990099009901,1.0,0.9950248756218906,100.0
90630,1.0,0.99,0.9949748743718593,100.0
915460,0.8571428571428571,0.84,0.8484848484848485,100.0
92013,0.98989898989899,0.98,0.9849246231155778,100.0
92092,1.0,0.97,0.9847715736040609,100.0
92582,0.9787234042553191,0.92,0.9484536082474226,100.0
92583,0.9789473684210527,0.93,0.9538461538461539,100.0
92589,0.9611650485436893,0.99,0.9753694581280788,100.0
92907,1.0,0.98,0.98989898989899,100.0
92947,0.98989898989899,0.98,0.9849246231155778,100.0
92950,0.9795918367346939,0.96,0.9696969696969697,100.0
93273,0.9230769230769231,0.96,0.9411764705882353,100.0
93274,0.99,0.99,0.99,100.0
93606,0.8454545454545455,0.93,0.8857142857142858,100.0
94161,0.9897959183673469,0.97,0.9797979797979798,100.0
959666,1.0,0.99,0.9949748743718593,100.0
966967,0.9894736842105263,0.94,0.964102564102564,100.0
98100,0.9777777777777777,0.88,0.9263157894736842,100.0
98197,0.9702970297029703,0.98,0.9751243781094527,100.0
98262,0.9797979797979798,0.97,0.9748743718592964,100.0
98283,1.0,0.97,0.9847715736040609,100.0
98560,0.9285714285714286,0.91,0.9191919191919193,100.0
99008,1.0,0.99,0.9949748743718593,100.0
99021,1.0,0.97,0.9847715736040609,100.0
99206,0.9607843137254902,0.98,0.9702970297029702,100.0
99207,0.95,0.95,0.9500000000000001,100.0
99773,1.0,0.99,0.9949748743718593,100.0
99780,0.9560439560439561,0.87,0.9109947643979057,100.0
99781,0.94,0.94,0.94,100.0
accuracy,0.9490604026845637,0.9490604026845637,0.9490604026845637,0.9490604026845637
macro avg,0.9511477045905364,0.9490604026845638,0.9493756475558975,44700.0
weighted avg,0.9511477045905363,0.9490604026845637,0.9493756475558975,44700.0
